index,TP,FN,FP,TN,y_pred_proba,top_5_coefficients
50031,0,0,0,1,0.30404007650770765,"{'feature_45': -0.31771655322175557, 'feature_2': -0.3038458851471766, 'feature_20': 0.2321136070990399, 'feature_49': -0.20368669807391335, 'feature_18': 0.19780280843926004}"
96724,0,0,0,1,0.3046733177217945,"{'feature_27': -0.9204272874282204, 'feature_49': 0.424167596932312, 'feature_18': 0.41570800129807495, 'feature_6': -0.3608599565175089, 'feature_2': -0.224011629123276}"
95743,1,0,0,0,0.8724449129375502,"{'feature_27': 1.0781924699801237, 'feature_20': -0.5725393338440292, 'feature_3': 0.47923440941243006, 'feature_2': 0.46170663221095787, 'feature_49': 0.356921224004319}"
92936,0,0,0,1,0.33249158041290117,"{'feature_27': -0.45328043830697085, 'feature_23': -0.32271698070578764, 'feature_2': -0.28403382617526013, 'feature_30': 0.24717839425967064, 'feature_6': -0.1944366118389721}"
61712,1,0,0,0,0.5589275133503072,"{'feature_39': 0.6972806693325287, 'feature_20': -0.4337543320175445, 'feature_3': 0.3732069588596899, 'feature_49': -0.3277462559768833, 'feature_6': 0.3202056412210491}"
10809,0,0,1,0,0.76315912147564,"{'feature_49': 0.8863567037699305, 'feature_13': -0.5966604978601041, 'feature_23': 0.5408259732898686, 'feature_2': -0.37410158146680705, 'feature_45': 0.3574369543297784}"
77816,0,0,1,0,0.5236396202696628,"{'feature_6': -0.8106715287268803, 'feature_20': -0.6353960088017131, 'feature_13': -0.4018646926772531, 'feature_28': 0.3877225164995261, 'feature_45': 0.28662480260240597}"
15527,0,0,0,1,0.05416420069542965,"{'feature_6': 0.9075691072882959, 'feature_49': -0.7472126910168638, 'feature_45': -0.735476135682575, 'feature_27': -0.5973296066785551, 'feature_0': -0.5217598311498802}"
199,0,0,0,1,0.42448759467867875,"{'feature_13': 0.5748409139897503, 'feature_24': -0.49662772965341195, 'feature_49': -0.34888997622352486, 'feature_23': -0.31543094293322277, 'feature_39': 0.2754211614682887}"
94315,0,0,0,1,0.20264282273803325,"{'feature_27': -1.0268288375950196, 'feature_20': 0.4957623945839637, 'feature_30': -0.33991528090907375, 'feature_0': -0.2942405193710189, 'feature_25': -0.2638624608583368}"
53191,1,0,0,0,0.9009577752291006,"{'feature_39': 1.1669892158953663, 'feature_27': 0.7666355435421224, 'feature_0': 0.3258051549465908, 'feature_49': 0.30755843707488617, 'feature_3': 0.2940831822104059}"
98481,0,0,0,1,0.36698235184652256,"{'feature_39': -1.1018622674397185, 'feature_13': -1.012673566968884, 'feature_23': 0.5467132062333604, 'feature_20': 0.5275602843643358, 'feature_2': 0.452969896213824}"
40171,0,1,0,0,0.33944432441695466,"{'feature_6': -0.9666281390922147, 'feature_39': 0.5884835182690762, 'feature_24': 0.37583486185908604, 'feature_20': -0.36732331530707935, 'feature_23': -0.34639478483802116}"
68332,1,0,0,0,0.5843529065551875,"{'feature_13': 0.7905229805749009, 'feature_20': 0.659087190294899, 'feature_24': -0.5866160879174553, 'feature_30': -0.4913841676356565, 'feature_23': 0.37825654969358985}"
62397,0,0,1,0,0.5170948658364731,"{'feature_2': 0.5066261654298699, 'feature_39': -0.496373213355013, 'feature_18': 0.3818587101337855, 'feature_13': -0.33136212503353196, 'feature_30': 0.3215273920317065}"
38324,0,0,0,1,0.2568637999591273,"{'feature_39': -0.9171654789847203, 'feature_27': -0.7092643124665715, 'feature_20': 0.6039347931554424, 'feature_13': -0.42355835047683943, 'feature_23': 0.3731993299853492}"
6235,0,0,1,0,0.9254171415935798,"{'feature_6': 0.8976144381574634, 'feature_28': -0.798167002522069, 'feature_39': 0.7894837502563717, 'feature_24': 0.5137245625803707, 'feature_2': -0.4767516593350477}"
28825,1,0,0,0,0.6834263495886675,"{'feature_20': 1.0643908208391082, 'feature_0': -0.74106694781663, 'feature_49': 0.5279693846966226, 'feature_39': 0.5069817477569661, 'feature_6': -0.4983412264154962}"
43893,0,0,0,1,0.3958796206142694,"{'feature_13': -0.34933438084879626, 'feature_23': 0.3096113923145588, 'feature_49': 0.29374731319093356, 'feature_24': -0.2660527602295076, 'feature_0': 0.24449379673596597}"
29934,0,1,0,0,0.2304149679128637,"{'feature_27': 0.7926743715844731, 'feature_39': 0.5443126207599543, 'feature_11': -0.5136165326388038, 'feature_23': -0.4515343414003188, 'feature_3': -0.43136907489401466}"
37856,0,1,0,0,0.29211224286321946,"{'feature_23': -0.6593801126709106, 'feature_27': -0.45623401241987227, 'feature_20': 0.3700556278702154, 'feature_28': 0.3647454274308457, 'feature_41': -0.3412657686747135}"
62481,0,0,0,1,0.2774709582430279,"{'feature_13': -0.7960691460189943, 'feature_20': -0.6612287428632941, 'feature_27': -0.5721463690142581, 'feature_24': -0.5009244219415737, 'feature_0': 0.4334676058608041}"
50562,0,0,1,0,0.683659811195211,"{'feature_6': 0.7645979716395768, 'feature_24': -0.761807025249131, 'feature_49': 0.73249766796058, 'feature_28': 0.35749917406647114, 'feature_3': 0.3299187522539803}"
82092,0,0,0,1,0.4624330779790281,"{'feature_24': -0.7430409280843946, 'feature_27': -0.559915218858508, 'feature_49': 0.4423839236014802, 'feature_45': 0.3129687732137595, 'feature_23': 0.27164946972420767}"
54022,0,1,0,0,0.41327786253862475,"{'feature_24': 0.7286138845300506, 'feature_45': -0.6596139546632703, 'feature_23': -0.5284170268783118, 'feature_6': -0.4711729109554368, 'feature_18': 0.3820001370837022}"
74435,0,1,0,0,0.2093505130700704,"{'feature_27': -0.738761477074747, 'feature_24': -0.7151349470421539, 'feature_6': 0.48913850490246347, 'feature_2': -0.4669888156781699, 'feature_25': 0.4186741464180262}"
26243,1,0,0,0,0.5079150548098325,"{'feature_39': 1.0717708798586476, 'feature_23': 0.8408455242951839, 'feature_45': -0.49595539867544947, 'feature_20': -0.4833542515484694, 'feature_13': -0.41613973319394365}"
24781,1,0,0,0,0.5310554271478731,"{'feature_28': 0.538931464037377, 'feature_0': -0.42262924536717, 'feature_39': 0.4205444680899303, 'feature_6': 0.3181129709732082, 'feature_13': -0.2702335531619858}"
28171,0,0,1,0,0.5187809969663002,"{'feature_39': 1.075233459857718, 'feature_20': 0.8500355304606354, 'feature_45': -0.8002118549073984, 'feature_27': 0.7821780776590306, 'feature_28': -0.6923351549042591}"
94842,0,0,0,1,0.13504187383201527,"{'feature_39': -0.6996092987459863, 'feature_13': -0.47681050906017575, 'feature_6': 0.4463409650105465, 'feature_20': 0.3686864981768111, 'feature_11': -0.3235128019510709}"
90843,0,0,0,1,0.08553615274093374,"{'feature_30': -0.8752321098729922, 'feature_39': 0.7311586896077337, 'feature_27': -0.5211613394196781, 'feature_2': -0.5068594485792105, 'feature_24': -0.43058611016474346}"
48388,1,0,0,0,0.7509633658288589,"{'feature_39': 0.8553925076074403, 'feature_27': 0.6849567022881186, 'feature_20': 0.5830451851463556, 'feature_24': -0.5789683678224938, 'feature_23': 0.3956894836929782}"
74612,1,0,0,0,0.8127202838580415,"{'feature_20': 0.7746387125070269, 'feature_6': 0.7428742136745187, 'feature_23': 0.5611178540389887, 'feature_24': -0.5579530853485561, 'feature_49': 0.5309934848829961}"
54006,0,0,1,0,0.5107191251784099,"{'feature_18': -0.545629076144605, 'feature_27': 0.5065487868685458, 'feature_49': 0.5012035561863208, 'feature_39': 0.4503107680944746, 'feature_20': -0.4254833410583177}"
80161,1,0,0,0,0.8095081013391185,"{'feature_23': 1.0141063921074411, 'feature_49': 0.9087293405111222, 'feature_39': 0.8506295503153629, 'feature_24': -0.550171726403481, 'feature_27': 0.4661962235208056}"
37373,0,0,1,0,0.6279374822696688,"{'feature_6': 0.7833826612165475, 'feature_39': -0.5954901666531605, 'feature_49': 0.5473442159495057, 'feature_27': 0.44465237656290246, 'feature_20': 0.4414374471166643}"
74641,1,0,0,0,0.7214350521386658,"{'feature_45': -0.5173805174517517, 'feature_0': 0.5123912640942344, 'feature_18': 0.3872531676782035, 'feature_3': 0.3289399733416375, 'feature_6': 0.26838355186864954}"
3697,0,0,0,1,0.12242978395612306,"{'feature_13': -0.7633624780125772, 'feature_3': -0.5864896409317684, 'feature_6': -0.576788680314435, 'feature_49': 0.5227501838113081, 'feature_24': 0.51585422782642}"
50731,1,0,0,0,0.621512047325213,"{'feature_24': -0.7058161068702051, 'feature_13': 0.46901857311654765, 'feature_20': 0.3827633821895644, 'feature_0': -0.3355368723176002, 'feature_49': 0.32928882364307}"
16780,1,0,0,0,0.9181039276446571,"{'feature_24': 0.7761051835021299, 'feature_30': 0.5880627296860111, 'feature_20': 0.5629754986583445, 'feature_45': -0.5603209596513283, 'feature_27': 0.451821586589829}"
86463,0,0,0,1,0.25897645960513693,"{'feature_6': 0.7363190424958957, 'feature_45': -0.5549540910325138, 'feature_30': -0.39210233332395417, 'feature_2': 0.29876374404766926, 'feature_24': -0.268579127413508}"
17394,0,0,0,1,0.2127353560675926,"{'feature_20': -0.9476212055099511, 'feature_0': -0.8605197040596201, 'feature_6': 0.8530749037944825, 'feature_45': -0.6116406122860247, 'feature_24': 0.4953594727898557}"
95636,1,0,0,0,0.6719132719672462,"{'feature_24': -0.8898189084904606, 'feature_20': -0.8262858230706518, 'feature_27': 0.7411488308312396, 'feature_45': -0.6166528137862768, 'feature_39': 0.6112562170750808}"
79740,0,0,0,1,0.09207708306838187,"{'feature_13': -0.6262447398908948, 'feature_39': -0.5827398865845054, 'feature_23': -0.5682833211084083, 'feature_24': -0.4575573254861163, 'feature_2': 0.34959655497809905}"
69328,1,0,0,0,0.9621760909636311,"{'feature_27': 1.4400092417720616, 'feature_23': 1.1706241542803135, 'feature_24': -0.9612490919030902, 'feature_49': 0.6902992198807916, 'feature_0': 0.6566742164284698}"
60590,0,0,1,0,0.619475330972032,"{'feature_6': 1.0321792852852418, 'feature_39': -0.7189407495692264, 'feature_13': 0.7112308336743525, 'feature_45': 0.711194574398006, 'feature_18': -0.534128248267368}"
87741,0,0,0,1,0.19513917932611413,"{'feature_20': -0.7263212792403956, 'feature_6': -0.5945434439880716, 'feature_13': -0.3846448647984785, 'feature_49': 0.3305599171242038, 'feature_30': -0.31093993245675056}"
