index,TP,FN,FP,TN,y_pred_proba,top_5_features
50031,0,0,0,1,0.30404007650770765,"['feature_13', 'feature_12', 'feature_4', 'feature_5', 'feature_46']"
96724,0,0,0,1,0.3046733177217945,"['feature_12', 'feature_13', 'feature_37', 'feature_36', 'feature_5']"
95743,1,0,0,0,0.8724449129375502,"['feature_40', 'feature_41', 'feature_6', 'feature_7', 'feature_5']"
92936,0,0,0,1,0.33249158041290117,"['feature_46', 'feature_47', 'feature_12', 'feature_13', 'feature_4']"
61712,1,0,0,0,0.5589275133503072,"['feature_40', 'feature_41', 'feature_7', 'feature_6', 'feature_46']"
10809,0,0,1,0,0.76315912147564,"['feature_27', 'feature_26', 'feature_46', 'feature_47', 'feature_41']"
77816,0,0,1,0,0.5236396202696628,"['feature_12', 'feature_13', 'feature_40', 'feature_41', 'feature_26']"
15527,0,0,0,1,0.05416420069542965,"['feature_13', 'feature_12', 'feature_1', 'feature_0', 'feature_40']"
199,0,0,0,1,0.42448759467867875,"['feature_26', 'feature_27', 'feature_47', 'feature_46', 'feature_49']"
94315,0,0,0,1,0.20264282273803325,"['feature_41', 'feature_40', 'feature_1', 'feature_0', 'feature_46']"
53191,1,0,0,0,0.9009577752291006,"['feature_7', 'feature_6', 'feature_47', 'feature_46', 'feature_1']"
98481,0,0,0,1,0.36698235184652256,"['feature_27', 'feature_26', 'feature_4', 'feature_5', 'feature_40']"
40171,0,1,0,0,0.33944432441695466,"['feature_12', 'feature_13', 'feature_46', 'feature_47', 'feature_49']"
68332,1,0,0,0,0.5843529065551875,"['feature_26', 'feature_27', 'feature_40', 'feature_41', 'feature_48']"
62397,0,0,1,0,0.5170948658364731,"['feature_5', 'feature_4', 'feature_37', 'feature_36', 'feature_27']"
38324,0,0,0,1,0.2568637999591273,"['feature_40', 'feature_41', 'feature_27', 'feature_26', 'feature_37']"
6235,0,0,1,0,0.9254171415935798,"['feature_13', 'feature_12', 'feature_49', 'feature_48', 'feature_5']"
28825,1,0,0,0,0.6834263495886675,"['feature_40', 'feature_41', 'feature_0', 'feature_1', 'feature_13']"
43893,0,0,0,1,0.3958796206142694,"['feature_26', 'feature_27', 'feature_0', 'feature_1', 'feature_48']"
29934,0,1,0,0,0.2304149679128637,"['feature_47', 'feature_46', 'feature_22', 'feature_23', 'feature_7']"
37856,0,1,0,0,0.29211224286321946,"['feature_46', 'feature_47', 'feature_40', 'feature_41', 'feature_26']"
62481,0,0,0,1,0.2774709582430279,"['feature_40', 'feature_41', 'feature_27', 'feature_26', 'feature_49']"
50562,0,0,1,0,0.683659811195211,"['feature_12', 'feature_13', 'feature_48', 'feature_49', 'feature_47']"
82092,0,0,0,1,0.4624330779790281,"['feature_49', 'feature_48', 'feature_13', 'feature_12', 'feature_7']"
